province,pruid,hr,hruid,mean_index,sum_index,weighted_index,mean_mr,sum_mr,weighted_mr,num_csds,area_sq_km,population,dwellings,households,number_of_families,number_of_families_of_size_2,number_of_families_of_size_3,number_of_families_of_size_4,number_of_families_of_size_5_or_larger,couples_with_0_children,couples_with_children,couples_with_1_child,couples_with_2_children,couples_with_3_or_more_children,singles_with_children,singles_with_1_child,singles_with_2_children,singles_with_3_or_more_children,people_not_in_census_families,people_commuting_within_csd,people_commuting_within_cd_but_not_csd,people_commuting_within_province_but_not_cd,people_commuting_outside_province,total_commuters,F0,F3,F4,F0_prop,F3_prop,F4_prop,F_wo_C,F_with_C,population_density,wave_1_attack_rate,wave_2_attack_rate,wave_3_attack_rate,all_waves_attack_rate
British Columbia,59,Kootenay-Boundary,5912,0.406035294117647,13.8052,0.394306775419409,4.15151515151515,137,3.80469691352303,34,52331.01635,86312,47647,39167,25660,16185,4560,3720,1220,13925,8230,3545,3520,1140,3505,2250,1005,265,17210,11555,13490,2965,445,28455,31135,6800,4925,25.2538364491887,5.14558901865225,3.60057453215908,31135,11725,1.64934690782095,0.000162202243025304,0.00224765965335064,0.00398554082862174,0.00639540272499768
Newfoundland and Labrador,10,Labrador-Grenfell,1014,0.686790243902439,28.1584,0.579421218268545,4.8421052631579,92,3.86347935742091,44,203995.77038,36478,16696,13892,11370,5940,2765,2000,655,4920,4805,2340,1925,630,1610,1010,445,150,4345,9945,2685,320,190,13140,9265,3795,2705,25.1734887517771,9.19849558635414,6.6280156618688,9265,6500,0.178817432989171,0.000164482701902517,2.74137836504194e-05,0.000191896485552936,0.000383792971105872
Ontario,35,Lambton,3542,0.186328571428571,2.6086,0.182330645619798,2.84615384615385,37,2.3140684470696,14,3036.49742,126638,59777,54481,37420,21530,6995,6055,2845,18045,13550,5355,5520,2685,5835,3475,1650,685,21075,26265,14985,4785,170,46205,39120,10480,8890,8.83232395104807,2.70047596428868,2.46720008466325,39120,19370,41.7052881935266,0.00225840584974494,0.0130845401854104,0.013266160236264,0.0286091062714193
Quebec,24,Lanaudiere,2414,0.184308450704225,13.0859,0.0821191676973945,2.84745762711864,168,1.68050873491297,71,7059.00636,494781,222613,202137,144375,75700,30795,26815,11020,61495,59125,23645,25015,10480,23795,14230,7170,2365,76290,45675,30025,122195,305,198200,137785,45045,37860,41.2220931864492,10.4762136431955,8.30169317035526,137785,82905,70.0921595429757,0.008678587092067,0.0308095905056985,0.00920407210462811,0.0486922497023936
Quebec,24,Laurentides,2415,0.202708988764045,18.0411,0.0914555575161181,3.04054054054054,225,1.8275822870716,89,12210.54372,589395,290273,249082,170595,92095,35380,31165,11970,74835,67600,26805,29265,11535,28225,17295,8590,2345,98920,57430,39545,137430,1970,236375,173755,52690,43145,55.0304017245324,11.9280821104195,9.04151616504811,173755,95835,48.2693493029809,0.00614528457146735,0.0202427913368793,0.00930106295438543,0.0356891388627321
Quebec,24,Laval,2413,0.03,0.03,0.03,1,1,1,1,247.08643,422993,165686,160328,117055,52310,25980,27215,11555,40140,56775,19935,25705,11135,20145,12165,6045,1935,58360,67705,45,108945,520,177215,98500,38145,38775,0.561509520009121,0.217449549652263,0.221040930338616,98500,76920,1711.9232326923,0.0138631135739835,0.0417737409366112,0.0195156893849307,0.0751525438955255
Ontario,35,Leeds Grenville and Lanark,3543,0.175936363636364,3.8706,0.169022153222566,2.86363636363636,63,2.5768535369053,22,6806.63156,169244,80921,71329,51830,30620,9955,7985,3245,26045,18495,7935,7460,3100,7310,4600,2010,680,25585,18295,20075,23210,750,62330,51630,14545,11240,14.6978602504384,4.09641532277542,3.20572442678618,51630,25785,24.8645748646927,0.00209756328141618,0.00282432464370967,0.00543593864479686,0.0103578265699227
Quebec,24,Mauricie et du Centre-du-Quebec,2404,0.161594615384615,21.0073,0.135207973672153,3.26016260162602,401,2.18987986493901,130,43116.17221,508506,252817,230780,142715,84670,26415,22145,9510,70705,49505,19935,20455,9095,22560,13945,6495,2055,103370,114845,30400,49215,220,194680,174075,40375,31605,86.7318482649625,20.1945628819465,19.0735888530911,174075,71980,11.7938577089657,0.00403928370560033,0.0206978875372169,0.00512678316480042,0.0298639544076176
Ontario,35,Middlesex-London,3544,0.123908333333333,1.4869,0.099832425591514,2.18181818181818,24,1.07638422395209,12,3259.49455,455373,203284,189987,125545,64300,26500,23750,10995,50675,52585,20225,22000,10365,22290,13620,6295,2375,86200,141095,20980,18680,500,181255,136875,40140,34740,5.35379847649981,1.65459027888538,1.9916112446148,136875,74880,139.706630281066,0.00138348123406526,0.0118079025326491,0.0145660809929442,0.0277574647596586
Quebec,24,Monteregie,2416,0.103508163265306,15.2157,0.087838254945292,2.43150684931507,355,1.41092268033239,147,8622.96355,1353459,582703,558666,388660,199870,82260,76335,30165,161440,164010,63140,71800,29050,63185,38395,19085,5715,213685,160465,98225,311625,1935,572250,375125,120620,106565,91.7481257995435,27.7475485097244,26.504325690732,375125,227185,156.959842419837,0.00608219384554685,0.0238160151138675,0.008130279528231,0.0380284884876454
