district,town,population,commuting_population,commute_1,commute_2,commute_3,commute_4
Regina,Lumsden Beach,30.00,,,,,
Regina,Markinch,58.00,30.00,0.00,25.00,10.00,0.00
Regina,Milestone,699.00,210.00,85.00,30.00,105.00,0.00
Regina,North Grove,132.00,35.00,0.00,0.00,30.00,0.00
Regina,Pelican Pointe,28.00,,,,,
Regina,Pense,"1,095.00",345.00,35.00,275.00,35.00,0.00
Regina,Pilot Butte,"2,137.00","1,035.00",70.00,955.00,10.00,0.00
Regina,Regina,"215,106.00","97,275.00","89,145.00","6,690.00","1,065.00",370.00
Regina,Regina Beach,"1,145.00",470.00,75.00,390.00,10.00,0.00
Regina,Saskatchewan Beach,258.00,85.00,0.00,85.00,0.00,0.00
Regina,Silton,71.00,30.00,10.00,15.00,0.00,10.00
Regina,Southey,804.00,295.00,90.00,200.00,10.00,0.00
Regina,White City,"3,099.00","1,405.00",50.00,"1,340.00",15.00,0.00
Regina,Wilcox,264.00,70.00,30.00,35.00,0.00,0.00
Saskatoon,Aberdeen,"2,001.00",760.00,60.00,55.00,645.00,0.00
Saskatoon,Allan,644.00,235.00,20.00,195.00,0.00,15.00
Saskatoon,Asquith,639.00,270.00,35.00,30.00,205.00,0.00
Saskatoon,Borden,287.00,100.00,35.00,10.00,55.00,0.00
Saskatoon,Bradwell,166.00,60.00,0.00,60.00,0.00,10.00
Saskatoon,Clavet,410.00,165.00,0.00,150.00,10.00,0.00
Saskatoon,Colonsay,720.00,230.00,50.00,175.00,0.00,0.00
Saskatoon,Dalmeny,"1,826.00",770.00,95.00,630.00,35.00,10.00
Saskatoon,Delisle,"1,038.00",425.00,90.00,95.00,240.00,0.00
Saskatoon,Dundurn,"3,015.00",895.00,30.00,805.00,45.00,20.00
Saskatoon,Hanley,511.00,195.00,45.00,135.00,20.00,0.00
Saskatoon,Langham,"1,496.00",615.00,120.00,455.00,35.00,10.00
Saskatoon,Martensville,"9,645.00","4,290.00",650.00,"3,385.00",215.00,40.00
Saskatoon,Meacham,99.00,50.00,10.00,25.00,15.00,10.00
Saskatoon,Osler,"1,237.00",425.00,80.00,330.00,15.00,0.00
Saskatoon,Plunkett,60.00,25.00,0.00,0.00,15.00,0.00
Saskatoon,Prud'Homme,167.00,55.00,0.00,25.00,20.00,10.00
Saskatoon,Radisson,514.00,185.00,75.00,30.00,80.00,10.00
Saskatoon,Saskatoon,"246,376.00","106,560.00","97,990.00","4,660.00","3,110.00",795.00
Saskatoon,Shields,288.00,125.00,10.00,110.00,10.00,0.00
Saskatoon,Thode,148.00,80.00,0.00,75.00,0.00,0.00
Saskatoon,Vanscoy,"3,302.00","1,335.00",110.00,195.00,"1,030.00",0.00
Saskatoon,Viscount,523.00,145.00,10.00,120.00,25.00,0.00
Saskatoon,Vonda,384.00,155.00,80.00,20.00,60.00,0.00
Saskatoon,Warman,"11,020.00","4,620.00",905.00,"3,370.00",290.00,50.00
Saskatoon,White Cap Dakota First Nation,451.00,140.00,90.00,40.00,0.00,0.00
South Central,Assiniboia,"2,389.00",920.00,735.00,115.00,65.00,0.00
South Central,Avonlea,393.00,175.00,135.00,0.00,40.00,0.00
South Central,Beaver Flat,"1,288.00",400.00,30.00,195.00,35.00,130.00
South Central,Briercrest,159.00,75.00,10.00,20.00,45.00,0.00
South Central,Brownlee,55.00,20.00,0.00,15.00,0.00,0.00
South Central,Cadillac,92.00,30.00,10.00,0.00,20.00,0.00
South Central,Caronport,994.00,375.00,160.00,200.00,15.00,0.00
South Central,Central Butte,372.00,140.00,110.00,25.00,10.00,0.00
South Central,Chaplin,342.00,85.00,35.00,35.00,10.00,0.00
South Central,Coderre,30.00,,,,,
South Central,Coronach,643.00,245.00,230.00,0.00,10.00,10.00
South Central,Drinkwater,70.00,45.00,0.00,15.00,30.00,0.00
South Central,Ernfold,15.00,,,,,
South Central,Eyebrow,314.00,105.00,20.00,70.00,20.00,0.00
South Central,Gravelbourg,"1,083.00",430.00,360.00,30.00,35.00,0.00
South Central,Hazenmore,70.00,50.00,35.00,10.00,0.00,0.00
South Central,Herbert,856.00,270.00,175.00,10.00,80.00,0.00
