province,HA,CSD,SAC,population,commuting_population,commute_1,commute_2,commute_3,commute_4,airport,hospital,notes
Saskatchewan,Regina,Cupar,strong,1067,335,45,270,20,0,,,
Saskatchewan,Regina,Disley,cma (regina),67,35,0,35,0,0,,,
Saskatchewan,Regina,Earl Grey,moderate,246,95,15,80,0,0,,,
Saskatchewan,Regina,Edenwold,cma (regina),4723,2045,225,1805,10,10,,,
Saskatchewan,Regina,Findlater,none,45,0,0,0,0,0,,,
Saskatchewan,Regina,Grand Coulee,cma (regina),649,310,0,300,0,10,,,
Saskatchewan,Regina,Kannata Valley,strong,88,40,10,30,10,0,,,
Saskatchewan,Regina,Lumsden,cma (regina),1824,765,170,580,10,0,,,
Saskatchewan,Regina,Lumsden Beach,cma (regina),30,,,,,,,,
Saskatchewan,Regina,Markinch,none,58,30,0,25,10,0,,,
Saskatchewan,Regina,Milestone,strong,699,210,85,30,105,0,,,
Saskatchewan,Regina,North Grove,none,132,35,0,0,30,0,,,
Saskatchewan,Regina,Pelican Pointe,none,28,,,,,,,,
Saskatchewan,Regina,Pense,cma (regina),1095,345,35,275,35,0,,,
Saskatchewan,Regina,Pilot Butte,cma (regina),2137,1035,70,955,10,0,,,
Saskatchewan,Regina,Regina,cma (regina),215106,97275,89145,6690,1065,370,international,2,
Saskatchewan,Regina,Regina Beach,cma (regina),1145,470,75,390,10,0,,,
Saskatchewan,Regina,Saskatchewan Beach,strong,258,85,0,85,0,0,,,
Saskatchewan,Regina,Silton,none,71,30,10,15,0,10,,,
Saskatchewan,Regina,Southey,strong,804,295,90,200,10,0,,,
Saskatchewan,Regina,White City,cma (regina),3099,1405,50,1340,15,0,,,
Saskatchewan,Regina,Wilcox,strong,264,70,30,35,0,0,,,
Saskatchewan,Saskatoon,Aberdeen,cma (saskatoon),2001,760,60,55,645,0,international,,
Saskatchewan,Saskatoon,Allan,cma (saskatoon),644,235,20,195,0,15,,,
Saskatchewan,Saskatoon,Asquith,cma (saskatoon),639,270,35,30,205,0,,,
Saskatchewan,Saskatoon,Borden,strong,287,100,35,10,55,0,,,
Saskatchewan,Saskatoon,Bradwell,cma (saskatoon),166,60,0,60,0,10,,,
Saskatchewan,Saskatoon,Clavet,cma (saskatoon),410,165,0,150,10,0,,,
Saskatchewan,Saskatoon,Colonsay,cma (saskatoon),720,230,50,175,0,0,,,
Saskatchewan,Saskatoon,Dalmeny,cma (saskatoon),1826,770,95,630,35,10,,,
Saskatchewan,Saskatoon,Delisle,cma (saskatoon),1038,425,90,95,240,0,,,
Saskatchewan,Saskatoon,Dundurn,cma (saskatoon),3015,895,30,805,45,20,,,
Saskatchewan,Saskatoon,Hanley,strong,511,195,45,135,20,0,,,
Saskatchewan,Saskatoon,Langham,cma (saskatoon),1496,615,120,455,35,10,,,
Saskatchewan,Saskatoon,Martensville,cma (saskatoon),9645,4290,650,3385,215,40,,,
Saskatchewan,Saskatoon,Meacham,cma (saskatoon),99,50,10,25,15,10,,,
Saskatchewan,Saskatoon,Osler,cma (saskatoon),1237,425,80,330,15,0,,,
Saskatchewan,Saskatoon,Plunkett,none,60,25,0,0,15,0,,,
Saskatchewan,Saskatoon,Prud'Homme,strong,167,55,0,25,20,10,,,
Saskatchewan,Saskatoon,Radisson,strong,514,185,75,30,80,10,,,
Saskatchewan,Saskatoon,Saskatoon,cma (saskatoon),246376,106560,97990,4660,3110,795,,5,
Saskatchewan,Saskatoon,Shields,cma (saskatoon),288,125,10,110,10,0,,,
Saskatchewan,Saskatoon,Thode,cma (saskatoon),148,80,0,75,0,0,,,
Saskatchewan,Saskatoon,Vanscoy,cma (saskatoon),3302,1335,110,195,1030,0,,,
Saskatchewan,Saskatoon,Viscount,moderate,523,145,10,120,25,0,,,
Saskatchewan,Saskatoon,Vonda,strong,384,155,80,20,60,0,,,
Saskatchewan,Saskatoon,Warman,cma (saskatoon),11020,4620,905,3370,290,50,,,
Saskatchewan,Saskatoon,White Cap Dakota First Nation,cma (saskatoon),451,140,90,40,0,0,,,
Saskatchewan,South Central,Assiniboia,weak,2389,920,735,115,65,0,,,
Saskatchewan,South Central,Avonlea,weak,393,175,135,0,40,0,,,
Saskatchewan,South Central,Beaver Flat,none,1288,400,30,195,35,130,,,
Saskatchewan,South Central,Briercrest,moderate,159,75,10,20,45,0,,,
Saskatchewan,South Central,Brownlee,none,55,20,0,15,0,0,,,
Saskatchewan,South Central,Cadillac,none,92,30,10,0,20,0,,,
Saskatchewan,South Central,Caronport,strong,994,375,160,200,15,0,,,
Saskatchewan,South Central,Central Butte,moderate,372,140,110,25,10,0,,,
Saskatchewan,South Central,Chaplin,strong,342,85,35,35,10,0,,,
Saskatchewan,South Central,Coderre,none,30,,,,,,,,
Saskatchewan,South Central,Coronach,weak,643,245,230,0,10,10,,,
Saskatchewan,South Central,Drinkwater,moderate,70,45,0,15,30,0,,,
Saskatchewan,South Central,Ernfold,none,15,,,,,,,,
Saskatchewan,South Central,Eyebrow,moderate,314,105,20,70,20,0,,,
Saskatchewan,South Central,Gravelbourg,weak,1083,430,360,30,35,0,,,
Saskatchewan,South Central,Hazenmore,none,70,50,35,10,0,0,,,
Saskatchewan,South Central,Herbert,moderate,856,270,175,10,80,0,,,
Saskatchewan,South Central,Hodgeville,moderate,172,35,10,15,15,0,,,
Saskatchewan,South Central,Keeler,none,15,,,,,,,,
Saskatchewan,South Central,Kincaid,none,111,40,20,15,0,0,,,
Saskatchewan,South Central,Lafleche,weak,382,125,65,40,20,0,,,
Saskatchewan,South Central,Limerick,none,115,40,10,20,10,0,,,
