Date,Agegroup,Percent_at_least_one_dose
2021-01-29,Ontario_12plus,0.0208
2021-01-30,12-17yrs,0
2021-01-30,18-29yrs,0.011
2021-01-30,30-39yrs,0.018
2021-01-30,40-49yrs,0.021
2021-01-30,50-59yrs,0.023
2021-01-30,60-69yrs,0.019
2021-01-30,70-79yrs,0.017
2021-01-30,80+,0.099
2021-01-30,Ontario_12plus,0.021
2021-01-31,12-17yrs,0
2021-01-31,18-29yrs,0.011
2021-01-31,30-39yrs,0.018
2021-01-31,40-49yrs,0.021
2021-01-31,50-59yrs,0.023
2021-01-31,60-69yrs,0.019
2021-01-31,70-79yrs,0.017
2021-01-31,80+,0.1
2021-01-31,Ontario_12plus,0.0211
2021-02-01,12-17yrs,0
2021-02-01,18-29yrs,0.011
2021-02-01,30-39yrs,0.018
2021-02-01,40-49yrs,0.021
2021-02-01,50-59yrs,0.023
2021-02-01,60-69yrs,0.019
2021-02-01,70-79yrs,0.017
2021-02-01,80+,0.1
2021-02-01,Ontario_12plus,0.0211
2021-02-02,12-17yrs,0
2021-02-02,18-29yrs,0.011
2021-02-02,30-39yrs,0.018
2021-02-02,40-49yrs,0.021
2021-02-02,50-59yrs,0.023
2021-02-02,60-69yrs,0.019
2021-02-02,70-79yrs,0.017
2021-02-02,80+,0.101
2021-02-02,Ontario_12plus,0.0211
2021-02-03,12-17yrs,0
2021-02-03,18-29yrs,0.011
2021-02-03,30-39yrs,0.018
2021-02-03,40-49yrs,0.021
2021-02-03,50-59yrs,0.023
2021-02-03,60-69yrs,0.019
2021-02-03,70-79yrs,0.017
2021-02-03,80+,0.101
2021-02-03,Ontario_12plus,0.0212
2021-02-04,12-17yrs,0
2021-02-04,18-29yrs,0.012
2021-02-04,30-39yrs,0.018
2021-02-04,40-49yrs,0.021
2021-02-04,50-59yrs,0.023
2021-02-04,60-69yrs,0.019
2021-02-04,70-79yrs,0.017
2021-02-04,80+,0.101
2021-02-04,Ontario_12plus,0.0213
2021-02-05,12-17yrs,0
2021-02-05,18-29yrs,0.012
2021-02-05,30-39yrs,0.018
2021-02-05,40-49yrs,0.021
2021-02-05,50-59yrs,0.023
2021-02-05,60-69yrs,0.019
2021-02-05,70-79yrs,0.017
2021-02-05,80+,0.102
2021-02-05,Ontario_12plus,0.0213
2021-02-06,12-17yrs,0
2021-02-06,18-29yrs,0.012
2021-02-06,30-39yrs,0.018
2021-02-06,40-49yrs,0.021
2021-02-06,50-59yrs,0.023
2021-02-06,60-69yrs,0.02
2021-02-06,70-79yrs,0.017
2021-02-06,80+,0.102
2021-02-06,Ontario_12plus,0.0214
2021-02-07,12-17yrs,0
2021-02-07,18-29yrs,0.012
2021-02-07,30-39yrs,0.018
2021-02-07,40-49yrs,0.021
2021-02-07,50-59yrs,0.023
2021-02-07,60-69yrs,0.02
2021-02-07,70-79yrs,0.017
2021-02-07,80+,0.104
2021-02-07,Ontario_12plus,0.0215
2021-02-08,12-17yrs,0
2021-02-08,18-29yrs,0.012
2021-02-08,30-39yrs,0.018
2021-02-08,40-49yrs,0.021
2021-02-08,50-59yrs,0.023
2021-02-08,60-69yrs,0.02
2021-02-08,70-79yrs,0.018
2021-02-08,80+,0.106
2021-02-08,Ontario_12plus,0.0217
2021-02-09,12-17yrs,0
2021-02-09,18-29yrs,0.012
2021-02-09,30-39yrs,0.019
2021-02-09,40-49yrs,0.022
2021-02-09,50-59yrs,0.023
2021-02-09,60-69yrs,0.02
2021-02-09,70-79yrs,0.018
2021-02-09,80+,0.109
2021-02-09,Ontario_12plus,0.0219
2021-02-10,12-17yrs,0
2021-02-10,18-29yrs,0.012
2021-02-10,30-39yrs,0.019
2021-02-10,40-49yrs,0.022
2021-02-10,50-59yrs,0.023
2021-02-10,60-69yrs,0.02
2021-02-10,70-79yrs,0.018
2021-02-10,80+,0.112
2021-02-10,Ontario_12plus,0.0222
2021-02-11,12-17yrs,0
2021-02-11,18-29yrs,0.012
2021-02-11,30-39yrs,0.019
2021-02-11,40-49yrs,0.022
2021-02-11,50-59yrs,0.023
2021-02-11,60-69yrs,0.02
2021-02-11,70-79yrs,0.019
2021-02-11,80+,0.115
2021-02-11,Ontario_12plus,0.0224
2021-02-12,12-17yrs,0
2021-02-12,18-29yrs,0.012
2021-02-12,30-39yrs,0.019
2021-02-12,40-49yrs,0.022
2021-02-12,50-59yrs,0.023
2021-02-12,60-69yrs,0.02
2021-02-12,70-79yrs,0.019
2021-02-12,80+,0.116
2021-02-12,Ontario_12plus,0.0225
2021-02-13,12-17yrs,0
2021-02-13,18-29yrs,0.012
2021-02-13,30-39yrs,0.019
2021-02-13,40-49yrs,0.022
2021-02-13,50-59yrs,0.024
2021-02-13,60-69yrs,0.02
2021-02-13,70-79yrs,0.019
2021-02-13,80+,0.117
2021-02-13,Ontario_12plus,0.0226
2021-02-14,12-17yrs,0
2021-02-14,18-29yrs,0.012
2021-02-14,30-39yrs,0.019
2021-02-14,40-49yrs,0.022
2021-02-14,50-59yrs,0.024
2021-02-14,60-69yrs,0.02
2021-02-14,70-79yrs,0.019
2021-02-14,80+,0.117
2021-02-14,Ontario_12plus,0.0226
2021-02-15,12-17yrs,0
