province,date,HA,cases
Newfoundland and Labrador,0009-08-20,Central,0
Newfoundland and Labrador,0010-08-20,Central,0
Newfoundland and Labrador,0011-08-20,Central,0
Newfoundland and Labrador,0012-08-20,Central,0
Newfoundland and Labrador,0013-08-20,Central,0
Newfoundland and Labrador,0014-08-20,Central,0
Newfoundland and Labrador,0015-08-20,Central,0
Newfoundland and Labrador,0016-08-20,Central,0
Newfoundland and Labrador,0017-08-20,Central,0
Newfoundland and Labrador,0018-08-20,Central,0
Newfoundland and Labrador,0019-08-20,Central,0
Newfoundland and Labrador,0020-08-20,Central,0
Newfoundland and Labrador,0021-08-20,Central,0
Newfoundland and Labrador,0022-08-20,Central,0
Newfoundland and Labrador,0023-08-20,Central,0
Newfoundland and Labrador,0024-08-20,Central,0
Newfoundland and Labrador,0025-08-20,Central,0
Newfoundland and Labrador,0026-08-20,Central,0
Newfoundland and Labrador,0027-08-20,Central,0
Newfoundland and Labrador,0028-08-20,Central,0
Newfoundland and Labrador,0029-08-20,Central,0
Newfoundland and Labrador,0030-08-20,Central,0
Newfoundland and Labrador,0031-08-20,Central,0
Newfoundland and Labrador,0001-09-20,Central,0
Newfoundland and Labrador,0002-09-20,Central,0
Newfoundland and Labrador,0003-09-20,Central,0
Newfoundland and Labrador,0004-09-20,Central,0
Newfoundland and Labrador,0005-09-20,Central,0
Newfoundland and Labrador,0006-09-20,Central,0
Newfoundland and Labrador,0007-09-20,Central,0
Newfoundland and Labrador,0008-09-20,Central,0
Newfoundland and Labrador,0009-09-20,Central,0
Newfoundland and Labrador,0010-09-20,Central,0
Newfoundland and Labrador,0011-09-20,Central,0
Newfoundland and Labrador,0012-09-20,Central,1
Newfoundland and Labrador,0013-09-20,Central,0
Newfoundland and Labrador,0014-09-20,Central,0
Newfoundland and Labrador,0015-09-20,Central,0
Newfoundland and Labrador,0016-09-20,Central,0
Newfoundland and Labrador,0017-09-20,Central,0
Newfoundland and Labrador,0018-09-20,Central,1
Newfoundland and Labrador,0019-09-20,Central,0
Newfoundland and Labrador,0020-09-20,Central,0
Newfoundland and Labrador,0021-09-20,Central,0
Newfoundland and Labrador,0022-09-20,Central,0
Newfoundland and Labrador,0023-09-20,Central,0
Newfoundland and Labrador,0024-09-20,Central,0
Newfoundland and Labrador,0025-09-20,Central,0
Newfoundland and Labrador,0026-09-20,Central,0
Newfoundland and Labrador,0027-09-20,Central,0
Newfoundland and Labrador,0028-09-20,Central,0
Newfoundland and Labrador,0029-09-20,Central,0
Newfoundland and Labrador,0030-09-20,Central,0
Newfoundland and Labrador,0001-10-20,Central,1
Newfoundland and Labrador,0002-10-20,Central,0
Newfoundland and Labrador,0003-10-20,Central,0
