HR,province,pr_uid,index_of_remoteness,area_sq_km,population,dwellings,households,number_of_families,number_of_families_of_size_2,number_of_families_of_size_3,number_of_families_of_size_4,number_of_families_of_size_5_or_larger,couples_with_0_children,couples_with_children,couples_with_1_child,couples_with_2_children,couples_with_3_or_more_children,singles_with_children,singles_with_1_child,singles_with_2_children,singles_with_3_or_more_children,people_not_in_census_families,people_commuting_within_csd,people_commuting_within_cd_but_not_csd,people_commuting_within_province_but_not_cd,people_commuting_outside_province,num_csds,aR_score,mR_score,mean_mR_score,wave_1_cumulative,wave_2_cumulative,wave_3_cumulative,wave_4_cumulative,total_cumulative,mR_weighted_by_pop,HRUID,total_commuters,F0,families_with_no_children,families_with_children_of_size_2_or_smaller,families_with_children_of_size_3_or_larger,families_with_children_of_size_3_or_smaller,families_with_children_of_size_4_or_larger,population_density,log_pop,F3,F4,F0_prop,F3_prop,F4_prop,wave_1_proportion,wave_2_proportion,wave_3_proportion,log_pop_density,log_F0,log_F3,log_F4,F0_normalised,F3_normalised,F4_normalised,mR_normalised,pop_density_normalised
Halton,Ontario,35,0.2632,1247.85135,609596,219639,214055,174080,70355,39160,46960,17610,57010,93745,31535,45050,17165,23305,13330,7605,2350,62895,91485,33305,132480,830,5,5,5,1,784,7911,8771,473,17939,1,3536,258100,119905,119905,13330,103705,52470,64565,488.516520817965,13.3205517216533,52470,64565,0.506056385582848,0.221448467966574,0.272495146450578,0.00128609767780628,0.0129774473585785,0.0143882177704578,6.19137329039503,11.694455041564,10.8679968566808,11.0754277472808,0.212726035471264,0.618386959666751,1.13842076013596,-1.28392212623052,0.526146253554769
Hamilton,Ontario,35,0.0574,1148.04521,536917,222918,211596,149350,72015,33455,30275,13610,54755,65960,25315,27885,12760,28635,17265,8140,3235,89250,142570,55,70010,495,1,1,1,1,836,8970,11556,1131,22493,1,3537,213130,144005,144005,17265,77335,50720,43880,467.679317263124,13.1935987991614,50720,43880,0.603528844743404,0.212568890006496,0.1839022652501,0.00155703767993936,0.0167064928098756,0.0215228797002144,6.14778284152421,11.8776033001776,10.8340755891111,10.6892139143892,0.408964624355509,0.573049895301536,0.539707569642738,-1.28392212623052,0.491293016264424
Hastings Prince Edward,Ontario,35,3.5199,7413.34582,161180,78035,67745,48245,28540,9360,7210,3145,23830,17065,7445,6680,2925,7370,4735,1910,740,26920,30960,15060,11325,235,18,32,50,2.77777777777778,41,332,763,98,1234,1.7795011788063,3538,57580,50750,50750,4735,19700,14090,10345,21.7418698538469,11.9902770318785,14090,10345,0.675001662565671,0.187404402473898,0.137593934960431,0.000254373991810398,0.00205980890929396,0.00473383794515449,3.07923988783099,10.834666896904,9.55322060489273,9.24425859017964,-0.350381002466079,-0.37591962909723,-0.430940090168249,-0.564388071247091,-0.254601874587946
Huron Perth,Ontario,35,1.93,5642.61983,136093,60116,54907,38765,21115,6865,6510,4290,18375,15715,5465,6090,4180,4710,2755,1400,555,19725,27045,13495,12595,90,15,31,57,3.8,58,1240,651,84,2033,3.458414466578,3539,53225,38100,38100,2755,17690,9620,10825,24.1187611606292,11.8210937545468,9620,10825,0.650781450166539,0.164318045947562,0.1849005038859,0.000426179156900061,0.00911141645786337,0.00478349364037827,3.18299000904032,10.5479695611148,9.17159954365975,9.28961355287069,-0.453385904930215,-0.491723444932951,-0.417046818162605,0.98536620592523,-0.250626180032263
Interlake-Eastern,Manitoba,46,21.543,124318.28555,130625,72818,50067,38150,21125,7260,6330,3430,17980,14665,5700,5795,3150,5545,3170,1515,825,17460,13120,8925,21900,350,55,88,150,3.75,21,2340,1585,337,4283,3.04907942583732,4603,44295,35440,35440,3170,16985,10385,9770,1.05073038469038,11.7800859017012,10385,9770,0.637467398147316,0.186797373864556,0.175735227988128,0.000160765550239234,0.0179138755980861,0.012133971291866,0.0494855268158078,10.475596404719,9.24811773631021,9.18707174503683,-0.475045433827813,-0.471904671081871,-0.447583072258343,0.607521361403016,-0.289210798565109
Kingston Frontenac Lennox and Addington,Ontario,35,1.884,7206.0675,193363,96839,81348,55495,31635,11175,9250,3450,26130,20625,8705,8630,3280,8730,5500,2455,785,35935,50525,9240,15000,295,9,14,21,2.33333333333333,101,579,887,28,1595,1.35475763201854,3541,75060,62065,62065,5500,23855,16660,12695,26.8333595265379,12.1723245303584,16660,12695,0.678899584336032,0.182235834609495,0.138864581054474,0.000522333641906673,0.0029943681055838,0.00458722713238831,3.2896458719002,11.03593750195,9.72076591572083,9.44896349413878,-0.258246577850924,-0.30933891171517,-0.36292094597395,-0.956456043506297,-0.246085621566921
Kootenay-Boundary,British Columbia,59,13.8052,52331.01635,86312,47647,39167,25660,16185,4560,3720,1220,13925,8230,3545,3520,1140,3505,2250,1005,265,17210,11555,13490,2965,445,34,76,137,4.15151515151515,14,194,342,639,1189,3.80469691352303,5912,28455,31135,31135,2250,9475,6800,4925,1.64934690782095,11.3657239172312,6800,4925,0.726434904339711,0.158656089594027,0.114909006066262,0.000162202243025304,0.00224765965335064,0.00396236907961813,0.500379396115823,10.3460878673066,8.8246778911642,8.50207955360619,-0.510099671385766,-0.564780885795755,-0.587818286565313,1.30500910063066,-0.288209525833301
Labrador-Grenfell,Newfoundland and Labrador,10,28.1584,304625.93782,36478,16696,13892,11370,5940,2765,2000,655,4920,4805,2340,1925,630,1610,1010,445,150,4345,9945,2685,320,190,44,54,92,4.8421052631579,6,1,7,1,15,3.86347935742091,1014,13140,9265,9265,1010,5490,3795,2705,0.119746861547799,10.5044646181239,3795,2705,0.587694259435458,0.240723120837298,0.171582619727244,0.000164482701902517,2.74137836504194e-05,0.000191896485552936,-2.12237525140367,9.13399913871946,8.24143968982973,7.90285719128058,-0.688180083788191,-0.642631102034311,-0.652074669591417,1.35926940371891,-0.290768003185206
Lambton,Ontario,35,2.6086,3036.49742,126638,59777,54481,37420,21530,6995,6055,2845,18045,13550,5355,5520,2685,5835,3475,1650,685,21075,26265,14985,4785,170,14,21,37,2.84615384615385,286,1657,1680,48,3671,2.3140684470696,3542,46205,39120,39120,3475,15895,10480,8890,41.7052881935266,11.7490879016317,10480,8890,0.668832279022055,0.179175927508976,0.151991793468969,0.00225840584974494,0.0130845401854104,0.013266160236264,3.73062793595687,10.5743891241488,9.25722395787503,9.09268232850795,-0.445080371292791,-0.469443516159188,-0.473054070935357,-0.0709451302320093,-0.221210169473195
Lanaudiere,Quebec,24,13.0859,13405.87564,494796,222662,202142,144375,75700,30795,26815,11020,61495,59125,23645,25015,10480,23795,14230,7170,2365,76290,45675,30025,122195,305,71,105,168,2.84745762711864,4292,15243,4565,585,24685,1.68050873491297,2414,198200,137785,137785,14230,68675,45045,37860,36.908890794395,13.1119008353934,45045,37860,0.62433730572296,0.204109837328379,0.171552856948661,0.00867428192628881,0.0308066354618873,0.00922602446260681,3.60845246496193,11.833449778226,10.7154172690855,10.5416504247633,0.358317154527293,0.426028272288623,0.365462783238619,-0.655765013968799,-0.229232837978149
