pruid,prename,prfname,week_end,sex,age,numtotal_atleast1dose,numtotal_partially,numtotal_fully,prop_atleast1dose,prop_partially,prop_fully,numweekdelta_atleast1dose,numweekdelta_fully,propweekdelta_partially,propweekdelta_fully,numtotal_partiallyrange,numtotal_fullyrange,prop_partiallyrange,prop_fullyrange
47,Saskatchewan,Saskatchewan,2020-12-19,m,75-79,0,0,0,0.00,0.00,0.00,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,80+,0,0,0,0.00,0.00,0.00,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,All ages,209,209,0,0.04,0.04,0.00,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,Not reported,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,Unknown,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,0-15,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,16-69,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,70-74,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,75-79,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,80+,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,All ages,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,Not reported,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,Unknown,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,0-15,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,16-69,0,0,0,na,na,na,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,70-74,0,0,0,na,na,na,,,,,,,,
