date,HR,cases,province
2020-06-02,South Zone,2,Alberta
2020-06-03,Calgary Zone,14,Alberta
2020-06-03,Edmonton Zone,2,Alberta
2020-06-03,South Zone,2,Alberta
2020-06-04,Calgary Zone,11,Alberta
2020-06-04,Edmonton Zone,7,Alberta
2020-06-04,South Zone,1,Alberta
2020-06-05,Calgary Zone,12,Alberta
2020-06-05,Edmonton Zone,22,Alberta
2020-06-05,North Zone,1,Alberta
2020-06-05,South Zone,2,Alberta
2020-06-06,Calgary Zone,11,Alberta
2020-06-06,Edmonton Zone,12,Alberta
2020-06-07,Calgary Zone,8,Alberta
2020-06-07,Edmonton Zone,16,Alberta
2020-06-07,North Zone,1,Alberta
2020-06-07,South Zone,8,Alberta
2020-06-08,Calgary Zone,11,Alberta
2020-06-08,Edmonton Zone,11,Alberta
2020-06-08,North Zone,1,Alberta
2020-06-08,South Zone,1,Alberta
2020-06-09,Calgary Zone,21,Alberta
2020-06-09,Edmonton Zone,16,Alberta
2020-06-09,North Zone,1,Alberta
2020-06-10,Calgary Zone,24,Alberta
2020-06-10,Edmonton Zone,23,Alberta
2020-06-10,South Zone,1,Alberta
2020-06-11,Calgary Zone,21,Alberta
2020-06-11,Edmonton Zone,19,Alberta
2020-06-11,North Zone,2,Alberta
2020-06-11,South Zone,1,Alberta
2020-06-12,Calgary Zone,9,Alberta
2020-06-12,Edmonton Zone,13,Alberta
2020-06-12,North Zone,3,Alberta
2020-06-12,South Zone,2,Alberta
2020-06-13,Calgary Zone,23,Alberta
2020-06-13,Central Zone,1,Alberta
2020-06-13,Edmonton Zone,8,Alberta
2020-06-13,South Zone,3,Alberta
2020-06-14,Calgary Zone,19,Alberta
2020-06-14,Edmonton Zone,20,Alberta
2020-06-14,North Zone,12,Alberta
2020-06-14,South Zone,2,Alberta
2020-06-15,Calgary Zone,11,Alberta
2020-06-15,Edmonton Zone,21,Alberta
2020-06-15,North Zone,4,Alberta
2020-06-16,Calgary Zone,21,Alberta
2020-06-16,Edmonton Zone,13,Alberta
2020-06-16,North Zone,4,Alberta
2020-06-16,South Zone,7,Alberta
2020-06-17,Calgary Zone,16,Alberta
2020-06-17,Edmonton Zone,21,Alberta
2020-06-17,North Zone,7,Alberta
2020-06-17,South Zone,2,Alberta
2020-06-18,Calgary Zone,19,Alberta
2020-06-18,Central Zone,1,Alberta
2020-06-18,Edmonton Zone,26,Alberta
2020-06-19,Calgary Zone,17,Alberta
2020-06-19,Edmonton Zone,29,Alberta
2020-06-19,South Zone,1,Alberta
2020-06-20,Calgary Zone,5,Alberta
2020-06-20,Edmonton Zone,22,Alberta
2020-06-20,North Zone,3,Alberta
2020-06-21,Calgary Zone,23,Alberta
2020-06-21,Edmonton Zone,10,Alberta
2020-06-22,Calgary Zone,12,Alberta
2020-06-22,Edmonton Zone,26,Alberta
2020-06-22,North Zone,2,Alberta
2020-06-22,South Zone,1,Alberta
2020-06-23,Calgary Zone,11,Alberta
2020-06-23,Edmonton Zone,27,Alberta
2020-06-23,North Zone,5,Alberta
2020-06-23,South Zone,2,Alberta
2020-06-24,Calgary Zone,8,Alberta
2020-06-24,Central Zone,1,Alberta
2020-06-24,Edmonton Zone,10,Alberta
2020-06-24,North Zone,4,Alberta
2020-06-24,South Zone,2,Alberta
2020-06-25,Calgary Zone,12,Alberta
2020-06-25,Edmonton Zone,22,Alberta
2020-06-25,South Zone,2,Alberta
