date,wave,HR,province,cases
2020-02-29,1,Vancouver,British Columbia,0
2020-02-29,1,Central Vancouver Island,British Columbia,0
2020-02-29,1,North Vancouver Island,British Columbia,0
2020-02-29,1,South Vancouver Island,British Columbia,0
2020-03-01,1,Fraser East,British Columbia,0
2020-03-01,1,Fraser North,British Columbia,0
2020-03-01,1,Fraser South,British Columbia,0
2020-03-01,1,East Kootenay,British Columbia,0
2020-03-01,1,Kootenay Boundary,British Columbia,0
2020-03-01,1,Okanagan,British Columbia,0
2020-03-01,1,Thompson Cariboo Shuswap,British Columbia,0
2020-03-01,1,Northeast,British Columbia,0
2020-03-01,1,Northern Interior,British Columbia,0
2020-03-01,1,Northwest,British Columbia,0
2020-03-01,1,North Shore/Coast Garibaldi,British Columbia,0
2020-03-01,1,Richmond,British Columbia,0
2020-03-01,1,Vancouver,British Columbia,0
2020-03-01,1,Central Vancouver Island,British Columbia,0
2020-03-01,1,North Vancouver Island,British Columbia,0
2020-03-01,1,South Vancouver Island,British Columbia,0
2020-03-02,1,Fraser East,British Columbia,0
2020-03-02,1,Fraser North,British Columbia,0
2020-03-02,1,Fraser South,British Columbia,0
2020-03-02,1,East Kootenay,British Columbia,0
2020-03-02,1,Kootenay Boundary,British Columbia,0
2020-03-02,1,Okanagan,British Columbia,0
2020-03-02,1,Thompson Cariboo Shuswap,British Columbia,0
2020-03-02,1,Northeast,British Columbia,0
2020-03-02,1,Northern Interior,British Columbia,0
2020-03-02,1,Northwest,British Columbia,0
2020-03-02,1,North Shore/Coast Garibaldi,British Columbia,0
2020-03-02,1,Richmond,British Columbia,0
2020-03-02,1,Vancouver,British Columbia,0
2020-03-02,1,Central Vancouver Island,British Columbia,0
2020-03-02,1,North Vancouver Island,British Columbia,0
2020-03-02,1,South Vancouver Island,British Columbia,0
2020-03-03,1,Fraser East,British Columbia,0
2020-03-03,1,Fraser North,British Columbia,1
2020-03-03,1,Fraser South,British Columbia,0
2020-03-03,1,East Kootenay,British Columbia,0
2020-03-03,1,Kootenay Boundary,British Columbia,0
2020-03-03,1,Okanagan,British Columbia,0
2020-03-03,1,Thompson Cariboo Shuswap,British Columbia,0
2020-03-03,1,Northeast,British Columbia,0
2020-03-03,1,Northern Interior,British Columbia,0
2020-03-03,1,Northwest,British Columbia,0
2020-03-03,1,North Shore/Coast Garibaldi,British Columbia,1
2020-03-03,1,Richmond,British Columbia,0
2020-03-03,1,Vancouver,British Columbia,3
2020-03-03,1,Central Vancouver Island,British Columbia,0
