province,HRUID2018,HR,pruid,wave,incidence,VIs,PROV_vaxx_AL1D,EIs,LIs,PHU_population,is_cma,is_ca,is_miz_strong,is_miz_moderate,is_miz_weak,is_miz_none,LTCHs,PROV_population,PHU_pop_density,group_0_to_4,group_5_to_19,group_20_to_49,group_50_to_64,group_65_plus,interaction_children_school_closures,interaction_popdensity_cma,interaction_popdensity_ca,interaction_popdensity_strong,interaction_popdensity_moderate,interaction_popdensity_weak,interaction_popdensity_none,interaction_lockdown_0_to_4,interaction_lockdown_5_to_19,interaction_lockdown_20_to_49,interaction_lockdown_50_to_64,interaction_lockdown_65_plus,previous_wave_incidence,interaction_vaccination_0_to_4,interaction_vaccination_5_to_19,interaction_vaccination_20_to_49,interaction_vaccination_50_to_64,interaction_vaccination_65_plus,log_previous_wave_incidence
Manitoba,4604,Northern,46,1,3,0,0,1,1,72080,0,1,1,2,19,0,0,1292920,0.170174810370316,7610,20225,28000,11010,5235,20225,0,0.170174810370316,0.170174810370316,0.340349620740631,3.233321397036,0,7610,20225,28000,11010,5235,0,0,0,0,0,0,0
Manitoba,4605,Southern Health,46,1,58,0,0,1,1,194900,5,5,9,20,5,0,1,1292920,5.88039427679946,15590,44880,72195,35845,26390,44880,29.4019713839973,29.4019713839973,52.9235484911952,117.607885535989,29.4019713839973,0,15590,44880,72195,35845,26390,0,0,0,0,0,0,0
New Brunswick,1301,Zone 1 (Moncton area),13,1,29,0,0,1,1,209205,15,0,12,16,3,0,78,779140,20.0447968365566,9850,32105,78710,48300,40240,32105,300.671952548349,0,240.53756203868,320.716749384906,60.1343905096699,0,9850,32105,78710,48300,40240,0,0,0,0,0,0,0
New Brunswick,1302,Zone 2 (Saint John area),13,1,27,0,0,1,1,170410,18,0,2,20,8,0,16,779140,15.2247764274202,8335,28700,60410,40630,32335,28700,274.045975693564,0,30.4495528548405,304.495528548405,121.798211419362,0,8335,28700,60410,40630,32335,0,0,0,0,0,0,0
New Brunswick,1303,Zone 3 (Fredericton area),13,1,51,0,0,1,1,174245,0,17,12,24,19,0,16,779140,7.13017666471549,9015,29355,65770,38850,31255,29355,0,121.213003300163,85.5621199765859,171.124239953172,135.473356629594,0,9015,29355,65770,38850,31255,0,0,0,0,0,0,0
New Brunswick,1304,Zone 4 (Edmundston area),13,1,7,0,0,1,1,47805,0,11,7,5,7,0,5,779140,6.01793532441259,1935,6955,15465,13115,10335,6955,0,66.1972885685385,42.1255472708881,30.089676622063,42.1255472708881,0,1935,6955,15465,13115,10335,0,0,0,0,0,0,0
New Brunswick,1305,Zone 5 (Campbellton area),13,1,53,0,0,1,1,25355,0,5,6,4,0,0,2,779140,4.54144630087003,835,3275,7470,7290,6485,3275,0,22.7072315043502,27.2486778052202,18.1657852034801,0,0,835,3275,7470,7290,6485,0,0,0,0,0,0,0
New Brunswick,1306,Zone 6 (Bathurst area),13,1,1,0,0,1,1,94530,0,8,2,12,7,0,9,779140,19.4856385666275,3255,12220,30600,26305,22150,12220,0,155.88510853302,38.971277133255,233.82766279953,136.399469966393,0,3255,12220,30600,26305,22150,0,0,0,0,0,0,0
New Brunswick,1307,Zone 7 (Miramichi area),13,1,2,0,0,1,1,57590,0,11,5,4,0,0,6,779140,5.42400040925866,2295,8460,19000,15065,12770,8460,0,59.6640045018452,27.1200020462933,21.6960016370346,0,0,2295,8460,19000,15065,12770,0,0,0,0,0,0,0
Newfoundland and Labrador,1011,Eastern,10,1,245,0,0,1,1,313185,13,5,23,53,11,0,1,524630,14.7231806282352,14100,48445,120990,73630,56020,48445,191.401348167058,73.615903141176,338.63315444941,780.328573296466,161.954986910587,0,14100,48445,120990,73630,56020,0,0,0,0,0,0,0
