date,HR,cases,province
2020-08-18,South East,0,Saskatchewan
2020-08-18,South East,0,Saskatchewan
2020-08-18,South East,0,Saskatchewan
2020-08-18,South East,0,Saskatchewan
2020-08-19,Far North West,0,Saskatchewan
2020-08-19,Far North West,0,Saskatchewan
2020-08-19,Far North Central,0,Saskatchewan
2020-08-19,Far North East,0,Saskatchewan
2020-08-19,Far North East,0,Saskatchewan
2020-08-19,North West,1,Saskatchewan
2020-08-19,North West,0,Saskatchewan
2020-08-19,North West,0,Saskatchewan
2020-08-19,North West,1,Saskatchewan
2020-08-19,North Central,0,Saskatchewan
2020-08-19,North Central,0,Saskatchewan
2020-08-19,North Central,0,Saskatchewan
2020-08-19,North East,0,Saskatchewan
2020-08-19,North East,0,Saskatchewan
2020-08-19,North East,0,Saskatchewan
2020-08-19,Saskatoon,0,Saskatchewan
2020-08-19,Central West,0,Saskatchewan
2020-08-19,Central West,0,Saskatchewan
2020-08-19,Central East,0,Saskatchewan
2020-08-19,Central East,0,Saskatchewan
2020-08-19,Central East,0,Saskatchewan
2020-08-19,Central East,0,Saskatchewan
2020-08-19,Central East,0,Saskatchewan
2020-08-19,Regina,0,Saskatchewan
2020-08-19,South West,2,Saskatchewan
2020-08-19,South West,0,Saskatchewan
2020-08-19,South Central,0,Saskatchewan
2020-08-19,South Central,0,Saskatchewan
2020-08-19,South East,0,Saskatchewan
2020-08-19,South East,0,Saskatchewan
2020-08-19,South East,0,Saskatchewan
2020-08-19,South East,0,Saskatchewan
2020-08-20,Far North West,0,Saskatchewan
2020-08-20,Far North West,0,Saskatchewan
2020-08-20,Far North Central,0,Saskatchewan
2020-08-20,Far North East,0,Saskatchewan
2020-08-20,Far North East,0,Saskatchewan
2020-08-20,North West,1,Saskatchewan
2020-08-20,North West,0,Saskatchewan
2020-08-20,North West,0,Saskatchewan
2020-08-20,North West,1,Saskatchewan
2020-08-20,North Central,0,Saskatchewan
2020-08-20,North Central,0,Saskatchewan
2020-08-20,North Central,0,Saskatchewan
2020-08-20,North East,0,Saskatchewan
2020-08-20,North East,0,Saskatchewan
2020-08-20,North East,0,Saskatchewan
2020-08-20,Saskatoon,1,Saskatchewan
2020-08-20,Central West,0,Saskatchewan
2020-08-20,Central West,0,Saskatchewan
2020-08-20,Central East,0,Saskatchewan
2020-08-20,Central East,0,Saskatchewan
2020-08-20,Central East,0,Saskatchewan
2020-08-20,Central East,0,Saskatchewan
2020-08-20,Central East,0,Saskatchewan
2020-08-20,Regina,0,Saskatchewan
2020-08-20,South West,0,Saskatchewan
2020-08-20,South West,0,Saskatchewan
2020-08-20,South Central,0,Saskatchewan
2020-08-20,South Central,3,Saskatchewan
2020-08-20,South East,0,Saskatchewan
2020-08-20,South East,0,Saskatchewan
2020-08-20,South East,0,Saskatchewan
2020-08-20,South East,0,Saskatchewan
2020-08-21,Far North West,0,Saskatchewan
2020-08-21,Far North West,0,Saskatchewan
2020-08-21,Far North Central,0,Saskatchewan
2020-08-21,Far North East,0,Saskatchewan
2020-08-21,Far North East,0,Saskatchewan
2020-08-21,North West,2,Saskatchewan
2020-08-21,North West,0,Saskatchewan
2020-08-21,North West,0,Saskatchewan
2020-08-21,North West,0,Saskatchewan
2020-08-21,North Central,0,Saskatchewan
