cases,cumulative_cases,date_report,health_region,province
552,33804,2020-12-17,Calgary,Alberta
546,34350,2020-12-18,Calgary,Alberta
557,34907,2020-12-19,Calgary,Alberta
456,35363,2020-12-20,Calgary,Alberta
445,35808,2020-12-21,Calgary,Alberta
363,36171,2020-12-22,Calgary,Alberta
425,36596,2020-12-23,Calgary,Alberta
0,36596,2020-12-24,Calgary,Alberta
0,36596,2020-12-25,Calgary,Alberta
0,36596,2020-12-26,Calgary,Alberta
0,36596,2020-12-27,Calgary,Alberta
1419,38015,2020-12-28,Calgary,Alberta
317,38332,2020-12-29,Calgary,Alberta
401,38733,2020-12-30,Calgary,Alberta
0,38733,2020-12-31,Calgary,Alberta
0,38733,2021-01-01,Calgary,Alberta
0,38733,2021-01-02,Calgary,Alberta
0,38733,2021-01-03,Calgary,Alberta
1801,40534,2021-01-04,Calgary,Alberta
291,40825,2021-01-05,Calgary,Alberta
434,41259,2021-01-06,Calgary,Alberta
403,41662,2021-01-07,Calgary,Alberta
402,42064,2021-01-08,Calgary,Alberta
345,42409,2021-01-09,Calgary,Alberta
347,42756,2021-01-10,Calgary,Alberta
270,43026,2021-01-11,Calgary,Alberta
235,43261,2021-01-12,Calgary,Alberta
336,43597,2021-01-13,Calgary,Alberta
367,43964,2021-01-14,Calgary,Alberta
250,44214,2021-01-15,Calgary,Alberta
268,44482,2021-01-16,Calgary,Alberta
265,44747,2021-01-17,Calgary,Alberta
185,44932,2021-01-18,Calgary,Alberta
234,45166,2021-01-19,Calgary,Alberta
257,45423,2021-01-20,Calgary,Alberta
221,45644,2021-01-21,Calgary,Alberta
273,45917,2021-01-22,Calgary,Alberta
278,46195,2021-01-23,Calgary,Alberta
170,46365,2021-01-24,Calgary,Alberta
272,46637,2021-01-25,Calgary,Alberta
172,46809,2021-01-26,Calgary,Alberta
178,46987,2021-01-27,Calgary,Alberta
192,47179,2021-01-28,Calgary,Alberta
224,47403,2021-01-29,Calgary,Alberta
