province,date,HR,cases
New Brunswick,2021-04-19,Not Reported,0
New Brunswick,2021-04-20,Not Reported,0
New Brunswick,2021-04-21,Not Reported,0
New Brunswick,2021-04-22,Not Reported,0
New Brunswick,2021-04-23,Not Reported,0
New Brunswick,2021-04-24,Not Reported,0
New Brunswick,2021-04-25,Not Reported,0
New Brunswick,2021-04-26,Not Reported,0
New Brunswick,2021-04-27,Not Reported,0
New Brunswick,2021-04-28,Not Reported,0
New Brunswick,2021-04-29,Not Reported,0
New Brunswick,2021-04-30,Not Reported,0
New Brunswick,2021-05-01,Not Reported,0
New Brunswick,2021-05-02,Not Reported,0
New Brunswick,2021-05-03,Not Reported,0
New Brunswick,2021-05-04,Not Reported,0
New Brunswick,2021-05-05,Not Reported,0
New Brunswick,2021-05-06,Not Reported,0
New Brunswick,2021-05-07,Not Reported,0
New Brunswick,2021-05-08,Not Reported,0
New Brunswick,2021-05-09,Not Reported,0
New Brunswick,2021-05-10,Not Reported,0
New Brunswick,2021-05-11,Not Reported,0
New Brunswick,2021-05-12,Not Reported,0
New Brunswick,2021-05-13,Not Reported,0
New Brunswick,2021-05-14,Not Reported,0
New Brunswick,2021-05-15,Not Reported,0
New Brunswick,2021-05-16,Not Reported,0
New Brunswick,2021-05-17,Not Reported,0
New Brunswick,2021-05-18,Not Reported,0
New Brunswick,2021-05-19,Not Reported,0
New Brunswick,2021-05-20,Not Reported,0
New Brunswick,2021-05-21,Not Reported,0
New Brunswick,2021-05-22,Not Reported,0
New Brunswick,2021-05-23,Not Reported,0
New Brunswick,2021-05-24,Not Reported,0
New Brunswick,2021-05-25,Not Reported,0
New Brunswick,2021-05-26,Not Reported,0
New Brunswick,2021-05-27,Not Reported,0
New Brunswick,2021-05-28,Not Reported,0
New Brunswick,2021-05-29,Not Reported,0
New Brunswick,2021-05-30,Not Reported,0
New Brunswick,2021-05-31,Not Reported,0
New Brunswick,2021-06-01,Not Reported,0
New Brunswick,2021-06-02,Not Reported,0
New Brunswick,2021-06-03,Not Reported,0
New Brunswick,2021-06-04,Not Reported,0
New Brunswick,2021-06-05,Not Reported,0
New Brunswick,2021-06-06,Not Reported,0
New Brunswick,2021-06-07,Not Reported,0
New Brunswick,2021-06-08,Not Reported,0
New Brunswick,2021-06-09,Not Reported,0
New Brunswick,2021-06-10,Not Reported,0
