date,HR,cases,province,HRUID2018
2020-02-16,East Kootenay,0,British Columbia,5911
2020-02-16,Kootenay-Boundary,0,British Columbia,5912
2020-02-16,Okanagan,0,British Columbia,5913
2020-02-16,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-16,Northeast,0,British Columbia,5953
2020-02-16,Northern Interior,0,British Columbia,5952
2020-02-16,Northwest,0,British Columbia,5951
2020-02-16,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-16,Richmond,0,British Columbia,5931
2020-02-16,Vancouver,0,British Columbia,5932
2020-02-16,Central Vancouver Island,0,British Columbia,5942
2020-02-16,North Vancouver Island,0,British Columbia,5943
2020-02-16,South Vancouver Island,0,British Columbia,5941
2020-02-17,Fraser East,0,British Columbia,5921
2020-02-17,Fraser North,0,British Columbia,5922
2020-02-17,Fraser South,0,British Columbia,5923
2020-02-17,East Kootenay,0,British Columbia,5911
2020-02-17,Kootenay-Boundary,0,British Columbia,5912
2020-02-17,Okanagan,0,British Columbia,5913
2020-02-17,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-17,Northeast,0,British Columbia,5953
2020-02-17,Northern Interior,0,British Columbia,5952
2020-02-17,Northwest,0,British Columbia,5951
2020-02-17,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-17,Richmond,0,British Columbia,5931
2020-02-17,Vancouver,0,British Columbia,5932
2020-02-17,Central Vancouver Island,0,British Columbia,5942
2020-02-17,North Vancouver Island,0,British Columbia,5943
2020-02-17,South Vancouver Island,0,British Columbia,5941
2020-02-18,Fraser East,0,British Columbia,5921
2020-02-18,Fraser North,0,British Columbia,5922
2020-02-18,Fraser South,0,British Columbia,5923
2020-02-18,East Kootenay,0,British Columbia,5911
2020-02-18,Kootenay-Boundary,0,British Columbia,5912
2020-02-18,Okanagan,1,British Columbia,5913
2020-02-18,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-18,Northeast,0,British Columbia,5953
2020-02-18,Northern Interior,0,British Columbia,5952
2020-02-18,Northwest,0,British Columbia,5951
2020-02-18,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-18,Richmond,0,British Columbia,5931
2020-02-18,Vancouver,0,British Columbia,5932
2020-02-18,Central Vancouver Island,0,British Columbia,5942
2020-02-18,North Vancouver Island,0,British Columbia,5943
2020-02-18,South Vancouver Island,0,British Columbia,5941
2020-02-19,Fraser East,0,British Columbia,5921
2020-02-19,Fraser North,0,British Columbia,5922
2020-02-19,Fraser South,0,British Columbia,5923
2020-02-19,East Kootenay,0,British Columbia,5911
2020-02-19,Kootenay-Boundary,0,British Columbia,5912
2020-02-19,Okanagan,0,British Columbia,5913
2020-02-19,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-19,Northeast,0,British Columbia,5953
2020-02-19,Northern Interior,0,British Columbia,5952
2020-02-19,Northwest,0,British Columbia,5951
2020-02-19,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-19,Richmond,0,British Columbia,5931
2020-02-19,Vancouver,0,British Columbia,5932
2020-02-19,Central Vancouver Island,0,British Columbia,5942
2020-02-19,North Vancouver Island,0,British Columbia,5943
2020-02-19,South Vancouver Island,0,British Columbia,5941
2020-02-20,Fraser East,0,British Columbia,5921
2020-02-20,Fraser North,0,British Columbia,5922
2020-02-20,Fraser South,0,British Columbia,5923
2020-02-20,East Kootenay,0,British Columbia,5911
2020-02-20,Kootenay-Boundary,0,British Columbia,5912
2020-02-20,Okanagan,0,British Columbia,5913
2020-02-20,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-20,Northeast,0,British Columbia,5953
2020-02-20,Northern Interior,0,British Columbia,5952
2020-02-20,Northwest,0,British Columbia,5951
2020-02-20,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-20,Richmond,0,British Columbia,5931
2020-02-20,Vancouver,0,British Columbia,5932
2020-02-20,Central Vancouver Island,0,British Columbia,5942
2020-02-20,North Vancouver Island,0,British Columbia,5943
2020-02-20,South Vancouver Island,0,British Columbia,5941
2020-02-21,Fraser East,0,British Columbia,5921
2020-02-21,Fraser North,0,British Columbia,5922
2020-02-21,Fraser South,0,British Columbia,5923
2020-02-21,East Kootenay,0,British Columbia,5911
2020-02-21,Kootenay-Boundary,0,British Columbia,5912
2020-02-21,Okanagan,0,British Columbia,5913
2020-02-21,Thompson Cariboo Shuswap,0,British Columbia,5914
2020-02-21,Northeast,0,British Columbia,5953
2020-02-21,Northern Interior,0,British Columbia,5952
2020-02-21,Northwest,0,British Columbia,5951
2020-02-21,North Shore/Coast Garibaldi,0,British Columbia,5933
2020-02-21,Richmond,0,British Columbia,5931
2020-02-21,Vancouver,0,British Columbia,5932
2020-02-21,Central Vancouver Island,0,British Columbia,5942
2020-02-21,North Vancouver Island,0,British Columbia,5943
2020-02-21,South Vancouver Island,0,British Columbia,5941
2020-02-22,Fraser East,0,British Columbia,5921
2020-02-22,Fraser North,0,British Columbia,5922
2020-02-22,Fraser South,0,British Columbia,5923
2020-02-22,East Kootenay,0,British Columbia,5911
2020-02-22,Kootenay-Boundary,0,British Columbia,5912
2020-02-22,Okanagan,0,British Columbia,5913
