"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CD_UID","PR_UID","CMA_UID","rguid","v_CA16_492: Couples without children","v_CA16_493: Couples with children","v_CA16_494: 1 child","v_CA16_495: 2 children","v_CA16_496: 3 or more children","v_CA16_497: Total - Lone-parent census families in private households - 100% data","v_CA16_498: 1 child","v_CA16_499: 2 children","v_CA16_500: 3 or more children","v_CA16_501: Total - Persons not in census families in private households - 100% data"
"118","2471083","CSD","Vaudreuil-Dorion (V)",72.67919,38117,14853,14453,"2471","24","24462","",3690,5255,1850,2415,980,1750,1045,545,155,4825
"119","2471090","CSD","Vaudreuil-sur-le-Lac (VL)",1.39047,1341,504,479,"2471","24","24462","",175,200,60,95,40,40,25,10,10,90
"120","2471095","CSD","L'Île-Cadieux (V)",0.59338,126,64,51,"2471","24","24462","",25,15,10,5,0,5,0,0,0,20
"121","2471100","CSD","Hudson (V)",21.92909,5185,2386,2241,"2471","24","24462","",825,590,230,245,120,180,100,55,25,785
"122","2471105","CSD","Saint-Lazare (V)",67.11417,19889,6821,6746,"2471","24","24462","",2050,3250,995,1570,685,615,325,215,75,1300
"123","2472005","CSD","Saint-Eustache (V)",70.70986,44008,18742,18347,"2472","24","24462","",5250,5140,2010,2255,870,2295,1395,720,185,7400
"124","2472010","CSD","Deux-Montagnes (V)",6.08778,17496,7240,7093,"2472","24","24462","",1835,2290,925,990,375,990,590,325,80,2565
"125","2472015","CSD","Sainte-Marthe-sur-le-Lac (V)",8.93139,18074,6941,6870,"2472","24","24462","",1975,2650,985,1250,420,730,460,220,55,2120
"126","2472020","CSD","Pointe-Calumet (Mï¿½)",5.06188,6428,2696,2618,"2472","24","24462","",690,795,350,295,145,365,225,110,30,1130
"127","2472025","CSD","Saint-Joseph-du-Lac (Mï¿½)",41.58385,6687,2608,2527,"2472","24","24462","",780,960,370,430,165,265,155,95,15,775
"128","2472032","CSD","Oka (Mï¿½)",57.78632,3824,1636,1563,"2472","24","24462","",570,455,190,195,70,130,75,40,15,545
"129","2472043","CSD","Saint-Placide (Mï¿½)",42.96025,1686,865,730,"2472","24","24462","",260,175,75,65,30,60,35,20,5,285
"130","2472802","CSD","Kanesatake (S-ï¿½)",11.85842,0,0,0,"2472","24","24462","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","2473005","CSD","Boisbriand (V)",27.80217,26884,10537,10288,"2473","24","24462","",2565,3585,1320,1515,750,1455,885,460,110,3510
"132","2473010","CSD","Sainte-Thérèse (V)",9.48578,25989,12566,12170,"2473","24","24462","",3220,2080,945,805,330,1595,1095,395,105,6345
"133","2473015","CSD","Blainville (V)",55.4651,56863,21006,20600,"2473","24","24462","",5430,8485,2800,4110,1580,2655,1450,955,250,5645
"134","2473020","CSD","Rosemère (V)",10.79152,13958,5181,5096,"2473","24","24462","",1565,2050,685,960,400,515,295,175,45,1325
"135","2473025","CSD","Lorraine (V)",5.90898,9352,3381,3326,"2473","24","24462","",1090,1430,480,685,265,385,190,150,50,620
"136","2473030","CSD","Bois-des-Filion (V)",4.38907,9636,4107,4019,"2473","24","24462","",965,1175,475,510,195,615,375,185,45,1580
"137","2473035","CSD","Sainte-Anne-des-Plaines (V)",93.77737,14421,5440,5263,"2473","24","24462","",1555,1840,735,750,350,680,400,215,60,1695
