Geo Code,Geo Name,Line Number
"5951007","Vanderhoof",1451564
"5951009","Fraser Lake",1453811
"5951013","Fort St. James",1456058
"5951015","Bulkley-Nechako C",1458305
"5951017","Bulkley-Nechako D",1460552
"5951019","Bulkley-Nechako F",1462799
"5951022","Burns Lake",1465046
"5951028","Bulkley-Nechako B",1467293
"5951031","Bulkley-Nechako E",1469540
"5951032","Granisle",1471787
"5951034","Houston",1474034
"5951038","Telkwa",1476281
"5951043","Smithers",1478528
"5951051","Bulkley-Nechako A",1480775
"5951053","Bulkley-Nechako G",1483022
"5951801","Ye Koo Che 3",1485269
"5951802","Nautley (Fort Fraser) 1",1487516
"5951803","Nak'azdli (Necoslie 1)",1489763
"5951804","Sowchea 3",1492010
"5951805","Binche 2 (Pinchie 2)",1494257
"5951806","Seaspunkut 4",1496504
"5951807","Stellaquo (Stella) 1",1498751
"5951809","Stony Creek 1",1500998
"5951810","Tache 1",1503245
"5951811","Tacla Lake (Ferry Landing) 9",1505492
"5951813","Laketown 3",1507739
"5951814","Dzitline Lee 9",1509986
"5951815","Burns Lake 18",1512233
"5951818","Cheslatta 1",1514480
"5951819","Omineca 1",1516727
"5951820","Palling 1",1518974
"5951821","Duncan Lake 2",1521221
"5951822","Francois Lake 7",1523468
"5951823","Skins Lake 16A",1525715
"5951824","Skins Lake 16B",1527962
"5951825","Tatla West 11",1530209
"5951826","Uncha Lake 13A",1532456
"5951827","Woyenne 27",1534703
"5951828","Babine 6",1536950
"5951829","Babine 25",1539197
"5951830","Jean Baptiste 28",1541444
"5951833","Tatla't East 2",1543691
"5951840","Williams Prairie Meadow 1A",1545938
"5951844","Poison Creek 17A",1548185
"5951845","Tadinlay 15",1550432
"5951846","Nedoats 11",1552679
"5951847","Babine Lake 21B",1554926
"5951848","North Tacla Lake",1557173
"5951849","Mission Lands 17",1559420
"5953007","Valemount",1561667
"5953012","McBride",1563914
"5953019","Fraser-Fort George H",1566161
"5953023","Prince George",1568408
"5953033","Mackenzie",1570655
"5953038","Fraser-Fort George A",1572902
"5953042","Fraser-Fort George C",1575149
"5953044","Fraser-Fort George D",1577396
"5953046","Fraser-Fort George E",1579643
"5953048","Fraser-Fort George F",1581890
"5953050","Fraser-Fort George G",1584137
"5953801","Fort George (Shelley) 2",1586384
"5953802","McLeod Lake 1",1588631
"5955003","Tumbler Ridge",1590878
"5955005","Pouce Coupe",1593125
"5955010","Chetwynd",1595372
