province,HA,CSD,SAC,population,commuting_population,commute_1,commute_2,commute_3,commute_4,airport,hospital
Manitoba,Northern,Opaskwayak Cree Nation 21C (Indian reserve) ,none,,,,,,,,
Manitoba,Northern,Opaskwayak Cree Nation 21E (Indian reserve) ,weak,,,,,,,,
Manitoba,Northern,Opaskwayak Cree Nation 21I (Indian reserve) ,weak,,,,,,,,
Manitoba,Northern,Oxford House 24 (Indian reserve) ,weak,,,,,,,,
Manitoba,Interlake-Eastern,Pauingassi First Nation (Indian reserve) ,none,,,,,,,,
Manitoba,Interlake-Eastern,Peguis 1B (Indian reserve) ,weak,,,,,,,,
Manitoba,Southern Health,Pembina (Municipality) ,moderate,,,,,,,,
Manitoba,Interlake-Eastern,Pinawa (Local government district) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Pine Creek 66A (Indian reserve) ,none,,,,,,,,
Manitoba,Southern Health,Piney (Rural municipality) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Pipestone (Rural municipality) ,weak,,,,,,,,
Manitoba,Interlake-Eastern,Poplar River 16 (Indian reserve) ,none,,,,,,,,
Manitoba,Southern Health,Portage la Prairie (City) ,ca (portage la prairie),,,,,,,,
Manitoba,Southern Health,Portage la Prairie (Rural municipality) ,strong,,,,,,,,
Manitoba,Interlake-Eastern,Powerview-Pine Falls (Town) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Prairie Lakes (Rural municipality) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Prairie View (Municipality) ,moderate,,,,,,,,
Manitoba,Northern,Pukatawagan 198 (Indian reserve) ,none,,,,,,,,
Manitoba,Northern,Red Sucker Lake 1976 (Indian reserve) ,none,,,,,,,,
Manitoba,Interlake-Eastern,Reynolds (Rural municipality) ,none,,,,,,,,
Manitoba,Southern Health,Rhineland (Municipality) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Riding Mountain West (Rural municipality) ,weak,,,,,,,,
Manitoba,Southern Health,Ritchot (Rural municipality) ,cma (winnipeg),,,,,,,,
Manitoba,Prairie Mountain,Riverdale (Municipality) ,strong,,,,,,,,
Manitoba,Interlake-Eastern,Rockwood (Rural municipality) ,strong,,,,,,,,
Manitoba,Southern Health,Roland (Rural municipality) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Rolling River 67 (Indian reserve) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Rolling River 67B (Indian reserve) ,none,,,,,,,,
Manitoba,Southern Health,Roseau Rapids 2A (Indian reserve) ,none,,,,,,,,
Manitoba,Southern Health,Roseau River 2 (Indian reserve) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Rosedale (Rural municipality) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Rossburn (Municipality) ,weak,,,,,,,,
Manitoba,Interlake-Eastern,Rosser (Rural municipality) ,cma (winnipeg),,,,,,,,
Manitoba,Prairie Mountain,Russell-Binscarth (Municipality) ,weak,,,,,,,,
Manitoba,Southern Health,Sandy Bay 5 (Indian reserve) ,weak,,,,,,,,
Manitoba,Interlake-Eastern,Selkirk (City) ,moderate,,,,,,,,
Manitoba,Northern,Shamattawa 1 (Indian reserve) ,none,,,,,,,,
Manitoba,Southern Health,Shoal Lake (Part) 39A (Indian reserve) ,none,,,,,,,,
Manitoba,Southern Health,Shoal Lake (Part) 40 (Indian reserve) ,none,,,,,,,,
Manitoba,Prairie Mountain,Shoal River Indian Reserve 65A (Indian reserve) ,none,,,,,,,,
Manitoba,Prairie Mountain,Sifton (Rural municipality) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Sioux Valley Dakota Nation (Indian reserve) ,moderate,,,,,,,,
Manitoba,Northern,Snow Lake (Town) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Souris-Glenwood (Municipality) ,moderate,,,,,,,,
Manitoba,Northern,South Indian Lake (Indian Settlement) ,none,,,,,,,,
Manitoba,Northern,Split Lake (Part) 171 (Indian reserve) ,weak,,,,,,,,
Manitoba,Northern,Split Lake (Part) 171 (Indian reserve) ,none,,,,,,,,
Manitoba,Interlake-Eastern,Springfield (Rural municipality) ,cma (winnipeg),,,,,,,,
Manitoba,Southern Health,St-Pierre-Jolys (Village) ,strong,,,,,,,,
Manitoba,Interlake-Eastern,St. Andrews (Rural municipality) ,strong,,,,,,,,
Manitoba,Interlake-Eastern,St. Clements (Rural municipality) ,cma (winnipeg),,,,,,,,
Manitoba,Southern Health,St. François Xavier (Rural municipality) ,cma (winnipeg),,,,,,,,
Manitoba,Interlake-Eastern,St. Laurent (Rural municipality) ,moderate,,,,,,,,
Manitoba,Northern,St. Theresa Point (Indian reserve) ,weak,,,,,,,,
Manitoba,Southern Health,Stanley (Rural municipality) ,ca (winkler),,,,,,,,
Manitoba,Southern Health,Ste. Anne (Rural municipality) ,strong,,,,,,,,
Manitoba,Southern Health,Ste. Anne (Town) ,strong,,,,,,,,
Manitoba,Prairie Mountain,Ste. Rose (Municipality) ,weak,,,,,,,,
Manitoba,Southern Health,Steinbach (City) ,ca (steinbach),,,,,,,,
Manitoba,Interlake-Eastern,Stonewall (Town) ,strong,,,,,,,,
Manitoba,Southern Health,Stuartburn (Rural municipality) ,moderate,,,,,,,,
Manitoba,Southern Health,Swan Lake 7 (Indian reserve) ,none,,,,,,,,
Manitoba,Prairie Mountain,Swan Lake 65C (Indian reserve) ,none,,,,,,,,
Manitoba,Prairie Mountain,Swan River (Town) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Swan Valley West (Municipality) ,weak,,,,,,,,
Manitoba,Southern Health,Taché (Rural municipality) ,cma (winnipeg),,,,,,,,
Manitoba,Interlake-Eastern,Teulon (Town) ,strong,,,,,,,,
Manitoba,Interlake-Eastern,The Narrows 49 (Indian reserve) ,none,,,,,,,,
Manitoba,Northern,The Pas (Town) ,weak,,,,,,,,
Manitoba,Northern,Thompson (City) ,ca (thompson),,,,,,,,
Manitoba,Southern Health,Thompson (Rural municipality) ,moderate,,,,,,,,
Manitoba,Prairie Mountain,Two Borders (Municipality) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Valley River 63A (Indian reserve) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Victoria (Rural municipality) ,moderate,,,,,,,,
Manitoba,Interlake-Eastern,Victoria Beach (Rural municipality) ,strong,,,,,,,,
Manitoba,Prairie Mountain,Virden (Town) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Wallace-Woodworth (Rural municipality) ,weak,,,,,,,,
Manitoba,Northern,Wasagamack (Indian reserve) ,weak,,,,,,,,
Manitoba,Prairie Mountain,Waterhen 45 (Indian reserve) ,none,,,,,,,,
Manitoba,Prairie Mountain,Waywayseecappo First Nation (Indian reserve) ,weak,,,,,,,,
Manitoba,Interlake-Eastern,West Interlake (Municipality) ,weak,Prairie Mountain,,,,,,,
Manitoba,Winnipeg,West St. Paul (Rural municipality) ,cma (winnipeg),,,,,,,,
Manitoba,Southern Health,WestLake-Gladstone (Municipality) ,weak ,,,,,,,,
Manitoba,Prairie Mountain,Whitehead (Rural municipality) ,ca (brandon),,,,,,,,
Manitoba,Interlake-Eastern,Whitemouth (Rural municipality) ,moderate,,,,,,,,
Manitoba,Southern Health,Winkler (City) ,ca (winkler),,,,,,,,
Manitoba,Winnipeg,Winnipeg (City) ,cma (winnipeg),,,,,,,,
Manitoba,Interlake-Eastern,Winnipeg Beach (Town) ,moderate,,,,,,,,
Manitoba,Interlake-Eastern,Woodlands (Rural municipality) ,strong ,,,,,,,,
Manitoba,Prairie Mountain,Yellowhead (Rural municipality) ,weak,,,,,,,,
Manitoba,Northern,York Landing (Indian reserve) ,none,,,,,,,,
